"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";"TP_SIGNAL_NAME";
"2";"";"PINHD-1X1";"1X01";"LCD_A, LCD_B";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"2";"0";"R-US_R0805";"R0805";"R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"1";"0.1uF";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";"";
"1";"10uF";"C-EUC1206";"C1206";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"C";"";
"2";"1uF";"C-EUC0805";"C0805";"C2, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";"";
"1";"2.2k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"2";"22";"R-US_R0805";"R0805";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"1";"ATTINY212-SSFR";"ATTINY212-SSFR";"SOIC127P600X175-8N";"U3";"None Check availability";"";"";"In Stock";" AVR tinyAVR™ 1, Functional Safety (FuSa) Microcontroller IC 8-Bit 16MHz 2KB (2K x 8) FLASH 8-SOIC ";"";"";"";"Microchip Technology";"";"";"ATTINY212-SSFR";"SOIC-8 Microchip Technology";"";"None";"https://pricing.snapeda.com/search/part/ATTINY212-SSFR/?ref=eda";"";"";
"1";"BAV199S";"BAV199S";"SOT-363";"U4";"SMF05C Series 7.2 V 100 W 5-Line Transient Voltage Suppressor Array - SC-88 Check availability";"";"";"In Stock";" 12.5V Clamp 8A (8/20µs) Ipp Tvs Diode Surface Mount SC-88/SC70-6/SOT-363 ";"";"";"";"ON Semiconductor";"";"";"SMF05CT1G";"SC-88-6 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/SMF05CT1G/?ref=eda";"";"";
"1";"NCP718ASN500T1G";"NCP718ASN500T1G";"SOT95P280X100-5N";"U2";"LDO Voltage Regulators 300 MA LOW IQ WIDE INPUT 5.0V";"NCP718ASN500T1G";"https://www.arrow.com/en/products/ncp718asn500t1g/on-semiconductor?region=nac";"";"LDO Voltage Regulators 300 MA LOW IQ WIDE INPUT 5.0V";"1mm";"onsemi";"NCP718ASN500T1G";"";"863-NCP718ASN500T1G";"https://www.mouser.co.uk/ProductDetail/onsemi/NCP718ASN500T1G?qs=MLItCLRbWszDzBczYJkl0A%3D%3D";"";"";"";"";"";"";"";
"1";"RX";"TPB1,27";"B1,27";"RX";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";
"2";"TPB1,27";"TPB1,27";"B1,27";"5V, 5V_FILT";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";
"9";"TPB2,54";"TPB2,54";"B2,54";"DATA, DATA_INV, GND_UPDI, MOUNT, MOUNT1, MOUNT2, MOUNT3, UPDI, V_UPDI";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";
"1";"TX";"TPB1,27";"B1,27";"TX";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";
