"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";"TP_SIGNAL_NAME";
"C1";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";"";
"C2";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";"";
"C3";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";"";
"D1";"RB751V-40_RR";"RB751V-40_RR";"DIO_RB751V-40_RR";"Check availability";"In Stock";" SOD-323, 40V, 0.03A, Schottky Diode ";"Taiwan Semiconductor";"RB751V-40 RR";"SOD-323-2 Taiwan Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/RB751V-40 RR/?ref=eda";"";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"92";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";"";
"R1";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"R2";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"R3";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"R4";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"R5";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"R6";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"85";"";"";"R";"";
"TP1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"19";"";"";"";"";
"TP2";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"19";"";"";"";"";
"TP3";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"19";"";"";"";"";
"TP4";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"19";"";"";"";"";
"TP5";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"19";"";"";"";"";
"U1";"MB6S";"MB6S";"SOIC245P670X270-4N";"MB6S Series 600 V 0.5 A 5 uA Surface Mount Bridge Rectifier - SOIC-4 Check availability";"In Stock";" Bridge Rectifier Single Phase Standard 600 V Surface Mount 4-SOIC ";"ON";"MB6S";"SOIC-4 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MB6S/?ref=eda";"";"";
"U2";"LDL1117";"LDL1117";"SOT230P700X180-4N";"";"";"";"";"";"";"";"";"";"";"";
"U3";"ATTINY204-SSN";"ATTINY204-SSN";"SOIC127P600X175-14N";"";"";"";"";"";"";"";"";"";"";"";
